date,open,close,price_change,p_change_rate,low,high,volume,amount,turnover,index_open,index_close,index_price_change,index_p_change_rate,index_low,index_high,index_volume,index_amount
20171204,11.92,12.05,0.04,0.33,11.91,12.12,295815.0,35632.65,0.59,11007.19,11014.55,1.4,0.01,10993.51,11099.83,87938152.0,12272782.0
20171201,11.94,12.01,0.09,0.76,11.91,12.13,258726.0,31107.69,0.52,10941.87,11013.15,69.05,0.63,10926.77,11077.43,81705760.0,11768189.0
20171130,12.03,11.92,0.19,1.57,11.92,12.21,295917.0,35694.95,0.59,11036.75,10944.1,138.03,1.25,10908.7,11079.93,81685592.0,11721669.0
20171129,11.94,12.11,0.08,0.67,11.7,12.13,504402.0,59939.79,1.01,11095.91,11082.13,9.01,0.08,10936.99,11108.45,98128928.0,13817581.0
20171128,11.9,12.03,0.13,1.09,11.87,12.08,339428.0,40662.77,0.68,10938.4,11091.14,136.96,1.25,10936.4,11091.14,84214080.0,11836876.0
20171127,11.94,11.9,0.04,0.34,11.79,12.1,349676.0,41727.83,0.7,11126.78,10954.18,214.21,1.92,10936.14,11126.78,100789952.0,13638368.0
20171124,12.03,11.94,0.16,1.32,11.84,12.12,428132.0,51260.17,0.86,11135.07,11168.39,7.08,0.06,11058.99,11225.2,93689320.0,13913050.0
20171123,12.39,12.1,0.31,2.5,12.06,12.39,586957.0,71488.86,1.18,11520.04,11175.47,385.33,3.33,11162.53,11520.04,117300048.0,17192128.0
20171122,12.6,12.41,0.21,1.66,12.39,12.78,657677.0,82596.97,1.32,11598.04,11560.8,41.3,0.36,11454.26,11666.13,119001344.0,17876246.0
20171121,12.37,12.62,0.22,1.77,12.16,12.68,809338.0,100434.48,1.62,11419.09,11602.1,164.55,1.44,11407.4,11602.1,122782696.0,18075102.0
20171120,12.39,12.4,0.01,0.08,12.03,12.45,650365.0,79917.28,1.3,11229.58,11437.55,144.62,1.28,11087.53,11437.55,104921416.0,15160523.0
20171117,12.73,12.39,0.34,2.67,12.35,12.87,650540.0,81761.66,1.3,11519.92,11292.93,245.03,2.12,11292.93,11555.87,129489192.0,18199140.0
20171116,12.8,12.73,0.01,0.08,12.6,12.89,576199.0,73421.66,1.16,11442.85,11537.96,75.85,0.66,11415.75,11549.08,103330608.0,15193873.0
20171115,13.05,12.74,0.35,2.67,12.59,13.19,966711.0,124345.82,1.94,11548.0,11462.11,120.82,1.04,11390.3,11583.97,99769408.0,15743487.0
20171114,13.3,13.09,0.14,1.06,13.06,13.49,807903.0,107082.95,1.62,11689.93,11582.93,112.07,0.96,11538.34,11700.73,122645800.0,18270134.0
20171113,14.21,13.23,0.9,6.37,13.13,14.3,1787260.0,241517.83,3.58,11657.63,11695.0,49.95,0.43,11631.19,11714.98,119989408.0,18266886.0
20171110,14.32,14.13,0.17,1.19,13.9,14.37,815332.0,114670.85,1.64,11540.55,11645.05,91.81,0.79,11531.59,11659.66,113823600.0,16932830.0
